,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200
ShareAmountCurrent,3000000000,3000000000,3000000000,3230041000,3230041000,3230041000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000,5897419000
WKCurrent,6690,5590,8189,15960,16990,18390,0,42200,41830,41190,0,41610,42400,44110,0,45930,47750,48890,0,50290,50580,48700,47390,47660,47150,47540,48360,47760,48070,48970,49740,51100,52210,50920,51340,53510,54410,56090,57460,59360,55900,56690,58350,61110,63040,62150
CWKCurrent,4220,5040,3440,1770,1660,1530,,670,670,680,,680,670,640,,610,590,580,,560,560,580,600,590,600,590,580,590,590,580,570,550,540,550,550,530,520,500,490,480,500,500,480,460,450,450
WKGrahamCurrent,2990,940,2580,4950,5840,6570,0,3550,3220,2890,0,1110,1700,2690,0,2040,3300,2860,0,1470,1510,-1360,-2630,-1990,-2240,-1250,-160,-740,530,1970,3030,4580,5520,3890,4630,5440,6560,8450,9410,11270,7470,6480,7980,11020,13010,10380
CWKGrahamCurrent,9430,30070,10950,5690,4830,4290,,7940,8770,9750,,25500,16540,10490,,13810,8550,9870,,19150,18670,,,,,,,,53010,14300,9290,6160,5110,7250,6090,5180,4300,3340,3000,2500,3780,4350,3530,2560,2170,2720
PCurrent,85460,75510,113070,123450,116410,123480,105860,128460,140950,149430,131190,122880,126720,145790,168990,192100,219460,235090,240210,247350,239930,229250,215350,195640,179040,166210,165290,171500,180230,185490,185250,185790,190220,194640,196920,193800,189000,196650,199150,206920,224360,229250,243910,259720,277020,290230
CPCurrent,330,370,250,230,240,230,270,220,200,190,220,230,220,190,170,150,130,120,120,110,120,120,130,140,160,170,170,160,160,150,150,150,150,140,140,150,150,140,140,140,130,120,120,110,100,100
ZCurrent,3740,570,2590,4040,3530,4019,3370,3090,2530,1160,360,-150,570,2890,3090,4320,5350,4780,4910,4370,2840,1670,-680,-780,-1580,-1170,970,1050,1870,2400,2350,3400,4180,3370,3020,3300,3100,6070,7010,7240,8189,5900,6190,7050,7150,7340
CZCurrent,7540,49330,10900,6980,7990,7010,8380,9140,11160,24380,79420,,49200,9760,9110,6530,5270,5900,5750,6460,9950,16910,,,,,28980,26840,15070,11740,11980,8300,6740,8370,9350,8530,9090,4650,4019,3890,3450,4780,4550,4000,3950,3840
ZOCurrent,4960,1360,3870,5340,4640,5300,4510,4360,3790,2380,1320,560,1420,3970,4140,5880,7290,6840,7230,6620,4760,3340,910,640,-300,-10,2009,2290,3120,3840,3790,5020,5920,4860,4420,4460,4170,7710,8740,9160,10470,7740,8290,9370,9520,9830
CZOCurrent,5680,20770,7280,5290,6080,5320,6250,6460,7440,11830,21340,50350,19840,7100,6810,4800,3870,4120,3900,4260,5930,8450,30910,43770,,,14010,12330,9040,7340,7440,5620,4770,5800,6390,6320,6770,3660,3230,3080,2690,3640,3400,3010,2960,2870
EVCurrent,28060,27810,27930,23160,28030,28040,28200,38460,43240,42420,28200,37510,38230,38000,28200,53290,58080,55160,28200,51040,52880,50980,55530,52780,48470,50900,49170,50400,48010,47980,45750,46990,45610,49350,45920,48440,45930,47670,39820,46600,50370,53180,53050,57990,66100,58180
EVPCurrent,330,370,250,190,240,230,270,300,310,280,220,310,300,260,170,280,260,230,120,210,220,220,260,270,270,310,300,290,270,260,250,250,240,250,230,250,240,240,200,230,220,230,220,220,240,200
EVEBITCurrent,5650,20480,7210,4340,6040,5290,6250,8820,11410,17790,21340,66970,26900,9560,6810,9060,7970,8060,3900,7710,11120,15280,60870,81920,-163530,-3705820,24420,22040,15380,12490,12070,9360,7710,10150,10400,10850,11020,6180,4560,5090,4810,6870,6400,6190,6950,5920
EVEBITDACurrent,5050,13670,6030,3840,5220,4590,5710,7920,9950,14040,13370,29150,17480,8000,5760,7900,7110,7140,3470,6780,9270,11720,27650,29760,56510,44560,15540,14660,11220,9580,9240,7580,6410,8140,8180,8580,8580,5350,4000,4480,4300,5910,5540,5420,6060,5160
DTAR,650,740,740,610,610,650,,440,440,410,,400,460,470,,530,560,580,,540,530,550,540,490,490,510,510,480,500,520,510,480,510,530,500,440,450,460,430,470,520,520,540,530,570,550
CG,1850,2820,2860,1580,1580,1820,,800,790,690,,650,860,880,,1120,1280,1370,,1190,1120,1230,1160,970,970,1030,1060,910,1000,1070,1060,920,1030,1120,1000,770,830,850,770,880,1060,1090,1150,1130,1310,1220
LDER,30,50,60,10,10,10,,70,70,60,,60,50,50,,40,40,40,,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,50,50,50,60,50,50,90,80,70
PZAT,14000,13310,10110,31410,40630,50410,,6920,7400,8020,,9300,10280,11480,,12360,12490,13320,,14460,14270,14530,13040,12110,11910,11680,11520,11320,11210,11000,10870,10640,10600,10800,10740,8220,8890,9060,9200,8600,9210,10030,9960,5840,6330,7010
PELDR,1860,1270,1550,1470,1540,1570,,1170,1160,1140,,1090,1100,1120,,1090,1120,1100,,1070,1070,1010,990,1020,1010,1030,1050,1040,1070,1090,1120,1150,1170,1140,1150,1180,1200,1240,1260,1300,1220,1190,1220,1320,1360,1290
TSF,360,280,270,390,390,360,,600,600,630,,640,570,560,,490,460,440,,470,490,470,480,530,530,520,510,550,530,510,510,550,520,490,520,600,580,570,600,560,510,500,490,510,470,480
ZKO,810,940,900,840,820,840,,900,910,910,,960,960,940,,960,950,960,,980,970,1020,1050,1040,1050,1030,1000,1020,990,960,950,910,910,940,920,880,870,850,820,820,890,910,890,860,860,880
OSF,1460,1130,1310,1210,1250,1300,,990,990,980,,990,1000,1000,,1010,1020,1020,,1010,1000,1000,990,1010,1010,1000,1010,1010,1010,1010,1010,1000,1020,1010,1010,980,990,1000,990,1020,1030,1020,1040,1050,1090,1060
NetDebt,36781000000,46161000000,69562000000,65079000000,86038000000,107759000000,,179033000000,192837000000,165273000000,,158458000000,213229000000,228376000000,,302777000000,359740000000,392155000000,,350857000000,333556000000,346825000000,324146000000,271150000000,268310000000,286185000000,300054000000,254925000000,277949000000,301680000000,302687000000,262766000000,293682000000,320274000000,286296000000,234916000000,255158000000,274050000000,244353000000,302468000000,346067000000,357838000000,391841000000,401893000000,478021000000,440613000000
NetDebtEBITDA,2210,7560,5010,3340,4960,5470,,6250,7530,9280,,20880,16530,8150,,7610,7470,8610,,7900,9920,13520,27370,25930,53050,42480,16090,12570,11010,10210,10360,7180,7000,8960,8640,7050,8080,5210,4160,4930,5000,6740,6940,6360,7430,6620
DebtFin,-418000000,-1161000000,-799000000,-16276000000,-550000000,-524000000,,60505000000,88698000000,83844000000,,54900000000,59179000000,57788000000,,147987000000,176218000000,158981000000,,134710000000,145545000000,134362000000,161191000000,144984000000,119545000000,133864000000,123648000000,130951000000,116812000000,116650000000,103475000000,110827000000,102659000000,124705000000,104487000000,119351000000,104581000000,114851000000,68540000000,108520000000,130772000000,147344000000,146536000000,175712000000,223521000000,176821000000
DebtFinEBITDA,-30,-190,-60,-840,-30,-30,,2110,3460,4710,,7240,4590,2060,,3720,3660,3490,,3030,4330,5240,13610,13860,23630,19870,6630,6460,4630,3950,3540,3030,2450,3490,3150,3580,3310,2190,1170,1770,1890,2780,2590,2780,3480,2660
SP1,1810,1200,1460,1450,1520,1560,,1090,1080,1080,,1030,1040,1060,,1050,1070,1060,,1030,1030,970,950,970,960,980,1000,990,1020,1040,1070,1100,1120,1080,1100,1110,1140,1180,1200,1230,1150,1130,1160,1220,1260,1200
SP2,1860,1270,1550,1470,1540,1570,,1170,1160,1140,,1090,1100,1120,,1090,1120,1100,,1070,1070,1010,990,1020,1010,1030,1050,1040,1070,1090,1120,1150,1170,1140,1150,1180,1200,1240,1260,1300,1220,1190,1220,1320,1360,1290
CAR,10,30,10,200,10,0,,110,10,20,,10,10,10,,0,10,0,,10,0,20,0,10,0,10,10,10,10,10,10,40,70,40,50,20,30,10,50,10,0,10,0,0,10,10
QR,810,800,790,820,660,630,,790,720,770,,720,720,870,,600,680,700,,630,630,600,650,620,600,650,670,600,590,540,570,680,670,610,640,690,690,740,810,660,680,650,650,670,600,620
CR,1260,1080,1130,1210,1230,1200,,1220,1200,1210,,1150,1120,1130,,1080,1090,1070,,1060,1060,1010,990,1010,1000,1020,1040,1040,1060,1090,1110,1160,1160,1120,1150,1230,1230,1260,1300,1300,1190,1160,1170,1250,1230,1210
PP,10,30,10,200,10,0,,110,10,20,,10,10,10,,0,10,0,,10,0,20,0,10,0,10,10,10,20,20,20,50,80,50,60,40,40,20,60,20,10,20,10,10,20,20
RCLR,790,740,750,580,650,620,,680,720,760,,710,710,860,,600,680,700,,620,630,580,650,610,600,640,660,590,570,510,550,620,590,560,580,650,650,720,750,640,670,630,630,660,580,600
KP,170,60,100,130,140,130,,90,80,80,,50,50,60,,40,50,40,,30,30,10,0,0,0,10,20,20,30,40,50,70,80,60,70,90,100,110,120,130,90,80,90,120,120,110
PKKO,40,20,30,50,60,60,,60,50,40,,30,30,40,,20,30,20,,10,20,0,0,0,0,10,10,10,20,30,30,40,50,40,40,50,60,60,70,80,50,50,50,70,70,60
RN,8830,6580,6580,7680,7400,7150,11040,9270,7880,7250,6360,6300,6210,5940,6890,6710,6460,6130,6260,6100,6220,6610,6230,6080,5960,5700,5760,6100,6400,6850,7160,6960,6860,6720,6730,6800,6810,6980,6940,6820,6810,6720,6660,6610,6730,6810
CRN,41000,55000,55000,48000,49000,51000,33000,39000,46000,50000,57000,58000,59000,61000,53000,54000,56000,60000,58000,60000,59000,55000,59000,60000,61000,64000,63000,60000,57000,53000,51000,52000,53000,54000,54000,54000,54000,52000,53000,54000,54000,54000,55000,55000,54000,54000
CPZ,52000,75000,74000,69000,74000,77000,53000,60000,68000,70000,80000,80000,81000,80000,69000,76000,81000,90000,88000,90000,90000,91000,95000,98000,101000,103000,101000,96000,92000,91000,92000,93000,94000,94000,92000,91000,89000,80000,76000,78000,78000,82000,85000,85000,87000,87000
RZ,13570,15250,12710,11220,9210,8430,11860,11120,10350,10850,9530,9590,10040,12040,14050,11410,10660,9140,9320,9490,9310,8960,9010,8910,8840,8960,8840,9030,8940,8060,7300,7020,6910,7060,7330,7260,7270,7870,8320,7690,7830,7570,7180,7290,6740,6560
CRZ,27000,24000,29000,33000,40000,43000,31000,33000,35000,34000,38000,38000,36000,30000,26000,32000,34000,40000,39000,38000,39000,41000,41000,41000,41000,41000,41000,40000,41000,45000,50000,52000,53000,52000,50000,50000,50000,46000,44000,47000,47000,48000,51000,50000,54000,56000
RMO,5550,4520,4340,4420,4050,3880,5640,5010,4440,4290,3760,3850,3890,4040,4690,4320,4120,3760,3840,3790,3800,3860,3730,3660,3600,3530,3540,3710,3790,3770,3680,3540,3450,3420,3460,3480,3510,3740,3830,3690,3740,3640,3560,3580,3470,3450
RMT,23110,16219,20150,16840,13210,12150,17060,7520,5050,3880,3410,3140,3180,3570,4130,4570,5070,5250,5360,5330,5000,4650,4350,3950,3620,3380,3390,3540,3750,3890,3920,3970,4080,4170,4220,4120,3990,4140,4160,4320,4670,4710,4950,5220,5520,5740
RM,4480,3530,3570,3500,3100,2940,4240,3010,2360,2040,1790,1730,1750,1900,2200,2220,2270,2190,2240,2220,2160,2110,2009,1900,1800,1720,1730,1800,1880,1910,1900,1870,1870,1880,1900,1880,1870,1960,1990,1990,2080,2050,2070,2120,2130,2150
COP,68000,79000,84000,81000,89000,94000,64000,72000,81000,84000,95000,96000,95000,91000,79000,86000,90000,100000,97000,98000,98000,96000,100000,101000,102000,105000,104000,100000,98000,98000,101000,104000,106000,106000,104000,104000,104000,98000,97000,101000,101000,102000,106000,105000,108000,110000
CSP,16000,4000,10000,12000,15000,17000,11000,12000,13000,14000,15000,16000,14000,11000,10000,10000,9000,10000,9000,8000,8000,5000,5000,3000,1000,2000,3000,4000,6000,7000,9000,11000,12000,12000,12000,13000,15000,18000,21000,23000,23000,20000,21000,20000,21000,23000
